title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142,Drama,Frank Darabont,Frank Darabont;Stephen King,Tim Robbins;Morgan Freeman;Bob Gunton,9.3,"2,012,257"
The Godfather,175,Crime;Drama,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo,Marlon Brando;Al Pacino;James Caan,9.2,"1,378,820"
The Godfather: Part II,202,Crime;Drama,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo,Al Pacino;Robert De Niro;Robert Duvall,9.0,"954,667"
The Dark Knight,152,Action;Crime;Drama,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Christian Bale;Heath Ledger;Aaron Eckhart,9.0,"1,980,926"
12 Angry Men,96,Crime;Drama,Sidney Lumet,Reginald Rose,Henry Fonda;Lee J. Cobb;Martin Balsam,8.9,"564,069"
Schindler's List,195,Biography;Drama;History,Steven Spielberg,Steven Zaillian;Thomas Keneally,Liam Neeson;Ralph Fiennes;Ben Kingsley,8.9,"1,038,653"
The Lord of the Rings: The Return of the King,201,Action;Adventure;Drama,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Viggo Mortensen;Ian McKellen,8.9,"1,432,434"
Pulp Fiction,154,Crime;Drama,Quentin Tarantino,Roger Avary;Quentin Tarantino,John Travolta;Uma Thurman;Samuel L. Jackson,8.9,"1,570,810"
"Il buono, il brutto, il cattivo",161,Western,Sergio Leone,Sergio Leone;Luciano Vincenzoni,Clint Eastwood;Eli Wallach;Lee Van Cleef,8.9,"596,381"
Fight Club,139,Drama,David Fincher,Chuck Palahniuk;Jim Uhls,Brad Pitt;Edward Norton;Meat Loaf,8.8,"1,610,098"
The Lord of the Rings: The Fellowship of the Ring,178,Adventure;Drama;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Orlando Bloom,8.8,"1,449,086"
Forrest Gump,142,Drama;Romance,Robert Zemeckis,Eric Roth;Winston Groom,Tom Hanks;Robin Wright;Gary Sinise,8.8,"1,532,725"
Star Wars: Episode V - The Empire Strikes Back,124,Action;Adventure;Fantasy,Irvin Kershner,Leigh Brackett;Lawrence Kasdan,Mark Hamill;Harrison Ford;Carrie Fisher,8.8,"1,010,589"
Inception,148,Action;Adventure;Sci-Fi,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page,8.8,"1,760,932"
The Lord of the Rings: The Two Towers,179,Adventure;Drama;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Viggo Mortensen,8.7,"1,294,855"
